Club,Club URL,Season,Aerial Duels Won,Blocks,Clearances,Corners Taken,Crosses (Completed %),Dribbles (Completed %),Duels Won,Fouls,Free Kicks Scored,Free Kicks Scored (Scored),Games Played,Goals,Goals Conceded,Hit Woodwork,Interceptions,Long Passes (Completed %),Offsides,Own Goals,Passes,Penalties Saved (%),Penalties Taken (Scored),Red Cards,Shots,Shots On Target,Shots On Target Inside the Box,Shots On Target Outside the Box,Touches in the Opposition Box,XG,Yellow Cards
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/overview,2024/25,481,106,646,251,491 (20%),636 (50%),"1,794",401,10,,38,69,34,12,225,"1,361 (46%)",80,2,"18,619",,2 (2),6,376,188,213,86,"1,379",61.59,64
Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/overview,2024/25,386,107,728,232,381 (19%),627 (52%),"1,841",406,12,,38,58,51,16,240,"1,436 (47%)",55,2,"16,508",1 (33%),6 (3),4,340,170,168,80,"1,014",57.31,72
Bournemouth,https://www.premierleague.com/en/clubs/91/bournemouth/overview,2024/25,581,136,986,229,594 (23%),595 (49%),"1,958",525,,10 (1),38,58,46,23,351,"2,112 (42%)",70,1,"15,154",,7 (6),3,404,202,196,110,"1,081",64.97,97
Brentford,https://www.premierleague.com/en/clubs/94/brentford/overview,2024/25,632,199,"1,004",175,478 (24%),558 (47%),"1,861",320,10,,38,66,57,10,285,"2,043 (47%)",63,1,"15,632",,6 (5),1,368,184,167,60,"1,032",60.19,62
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/overview,2024/25,527,122,748,189,493 (23%),721 (47%),"1,972",438,,25 (2),38,66,59,13,315,"1,667 (48%)",46,2,"17,704",,7 (7),3,382,191,170,109,"1,154",59.21,76
Burnley,https://www.premierleague.com/en/clubs/90/burnley/overview,2023/24,576,169,823,181,377 (18%),629 (48%),"1,821",429,13,,38,41,78,6,280,"2,211 (39%)",76,1,"16,447",1 (14%),3 (3),7,284,142,,,,,71
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/overview,2024/25,409,103,654,236,463 (22%),662 (49%),"1,760",436,,17 (2),38,64,43,21,272,"1,788 (46%)",65,3,"19,796",1 (17%),5 (4),2,436,218,206,121,"1,196",69.19,99
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/overview,2024/25,521,144,"1,041",172,423 (22%),450 (46%),"1,890",417,,19 (1),38,51,51,13,334,"2,075 (38%)",74,2,"14,340",1 (50%),4 (3),4,372,186,182,101,838,61.35,74
Everton,https://www.premierleague.com/en/clubs/11/everton/overview,2024/25,627,138,"1,051",156,485 (24%),588 (48%),"2,013",430,,11 (1),38,42,44,10,345,"2,180 (46%)",81,3,"13,351",2 (100%),2 (2),2,288,144,140,69,775,42.38,80
Fulham,https://www.premierleague.com/en/clubs/54/fulham/overview,2024/25,545,113,887,205,671 (24%),542 (53%),"1,859",432,10,,38,54,54,8,302,"1,889 (49%)",43,1,"18,013",1 (25%),4 (3),2,346,173,188,84,988,49.88,81
